id,product_id,category_key,category_label,min_amount,max_amount,min_inclusive,max_inclusive,max_installments,max_maturity_months,condition_text,source_text,updated_at
556,609,bilgisayar,Bilgisayar,,,0,1,12,,Tüm tutarlar,Kategori bazlı taksit tablosu: bilgisayar 12,2026-08-12T11:10:22+00:00
557,609,mobilya,Mobilya,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: mobilya 18,2026-08-12T11:10:22+00:00
558,609,havayolu_ve_konaklama,Havayolu ve Konaklama,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: havayolu ve konaklama (yurt ici harcamalar) 18,2026-08-12T11:10:22+00:00
559,609,beyaz_esya,Beyaz Eşya,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: beyaz esya 18,2026-08-12T11:10:22+00:00
560,609,elektronik,Elektronik,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: elektronik 18,2026-08-12T11:10:22+00:00
561,609,egitim,Eğitim,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: egitim 18,2026-08-12T11:10:22+00:00
562,609,saglik,Sağlık,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: saglik 18,2026-08-12T11:10:22+00:00
563,609,giyim,Giyim,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: giyim 18,2026-08-12T11:10:22+00:00
564,609,kozmetik,Kozmetik,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: kozmetik 18,2026-08-12T11:10:22+00:00
565,609,gida,Gıda,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: gida 18,2026-08-12T11:10:22+00:00
566,609,akaryakit,Akaryakıt,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: akaryakit 18,2026-08-12T11:10:22+00:00
567,609,market,Market,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: market 18,2026-08-12T11:10:22+00:00
568,609,restoran,Restoran,,,0,1,18,,Tüm tutarlar,Kategori bazlı taksit tablosu: restoran 18,2026-08-12T11:10:22+00:00
593,626,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3",2026-08-13T11:10:38+00:00
594,626,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3",2026-08-13T11:10:38+00:00
595,626,tablet,Tablet,,,0,1,6,,Tüm tutarlar,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3, bilgisayar alımları 12, tablet alımları 6 taksit ile sınırlandırılmıştır.",2026-08-13T11:10:38+00:00
596,626,bilgisayar,Bilgisayar,,,0,1,12,,Maksimum 12 taksit,Bilgisayar alımları 12 taksit ile sınırlandırılmıştır.,2026-08-13T11:10:38+00:00
645,672,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,Maksimum 12 taksit,"et Finansman başvurusu yapabilir, tüm ihtiyaçlarınıza kolayca ulaşabilirsiniz.* Cep telefonlarında 20.000 TL’ye kadar olan alışverişlerinizde maksimum 12 taksit, 20.000 TL’nin üzerindeki alışverişleriniz 3 Aya varan vade taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinizde maksimum 12 taksit imkanına sahip olabilirsiniz. Tab",2026-08-13T11:49:11+00:00
646,672,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,Maksimum 3 taksit,"p telefonlarında 20.000 TL’ye kadar olan alışverişlerinizde maksimum 12 taksit, 20.000 TL’nin üzerindeki alışverişleriniz 3 Aya varan vade taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinizde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinizde maksimum 6 taksit imkanına",2026-08-13T11:49:11+00:00
647,672,bilgisayar,Bilgisayar,,,0,1,12,,Maksimum 12 taksit,erindeki alışverişleriniz 3 Aya varan vade taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinizde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinizde maksimum 6 taksit imkanına sahip olabilirsiniz. * *Azami finansman taksit miktar ve tutarları yasal düzenlemeler ve firmala,2026-08-13T11:49:11+00:00
648,672,tablet,Tablet,,,0,1,6,,Maksimum 6 taksit,"Bilgisayar alışverişlerinizde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinizde maksimum 6 taksit imkanına sahip olabilirsiniz. * *Azami finansman taksit miktar ve tutarları yasal düzenlemeler ve firmalarla yapılan anlaşmalar kapsamında belirlenmekte olup, farklılık gösterebil",2026-08-13T11:49:11+00:00
649,674,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,Maksimum 12 taksit,"jik aletlerin taksit sayıları nedir? Kartınız ile yapacağınız harcamalarınızda; Cep telefonlarında 20.000 TL’ye kadar olan alışverişlerinizde maksimum 12 taksit, 20.000 TL’nin üzerindeki alışverişleriniz için maksimum 3 taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet",2026-08-13T11:49:11+00:00
650,674,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,Maksimum 3 taksit,"p telefonlarında 20.000 TL’ye kadar olan alışverişlerinizde maksimum 12 taksit, 20.000 TL’nin üzerindeki alışverişleriniz için maksimum 3 taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinde maksimum 6 taksit imkanına sahip olabilirsiniz.",2026-08-13T11:49:11+00:00
651,674,bilgisayar,Bilgisayar,,,0,1,12,,Maksimum 12 taksit,zerindeki alışverişleriniz için maksimum 3 taksit imkanına sahip olabilirsiniz. Bilgisayar alışverişlerinde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinde maksimum 6 taksit imkanına sahip olabilirsiniz. *Azami finansman taksit miktar ve tutarları yasal düzenlemeler ve firmalarla,2026-08-13T11:49:11+00:00
652,674,tablet,Tablet,,,0,1,6,,Maksimum 6 taksit,"z. Bilgisayar alışverişlerinde maksimum 12 taksit imkanına sahip olabilirsiniz. Tablet alışverişlerinde maksimum 6 taksit imkanına sahip olabilirsiniz. *Azami finansman taksit miktar ve tutarları yasal düzenlemeler ve firmalarla yapılan anlaşmalar kapsamında belirlenmekte olup, farklılık gösterebilir",2026-08-13T11:49:11+00:00
