id,campaign_id,benefit_type,amount,rate,points,minimum_spending,maximum_benefit,description,evidence,extracted_at
6270,11,discount,500.0,,,,500.0,500 TL indirim,"Siz de hemen Albaraka kredi kartları ile bilet.com sı üzerinden Yunan Adaları feribot bileti alın, 500 TL indirim kodu kazanın!",2026-08-10T13:45:46+00:00
6271,12,shopping_points,,,500.0,10000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Business Kart ile Konaklama Harcamanıza 500 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6275,13,shopping_points,,,300.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",DASK Sigortasında Worldpuan Fırsatı!,2026-08-10T13:45:46+00:00
6276,13,installment,,,,,,3 taksit,Üstelik peşin fiyatına 3 taksit avantajı ile.,2026-08-10T13:45:46+00:00
6322,15,installment,,,,,,12 taksit,"Pratik Finansman Kart ile yapacağınız tüm harcamalarda geçerli olacak finansman tutarını, taksit sayısını ve kar oranını başvuru aşamasında belirleyebilirsiniz.",2026-08-10T13:45:46+00:00
6282,16,shopping_points,,,200.0,500.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL\u0027ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6287,18,installment,,,,,,6 taksit,"Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Albaraka Mobil'de Kampanyalar sayfasından kampanyaya katılım sağlayarak, World kartlarınız ile kampanyaya katıldıktan sonra yapacağınız 30.000 TL- 500.000 TL arası okul ödemelerinize vade farksız 6 taksit fırsatını kaçırmayın!",2026-08-10T13:45:46+00:00
6283,19,reward,30000.0,,,,8600.0,Ödül veya hediye tutarı,| 30.000 TL'ye Varan Ödül!,2026-08-10T13:45:46+00:00
6284,20,discount,,30.0,,,,%30 indirim,Ödeme işlemini Albaraka kredi kartınızla tamamlayarak %30 indirimden yararlanın.,2026-08-10T13:45:46+00:00
6285,21,discount,,35.0,,,,%35 indirim,Albaraka Mobil Albaraka Mobil Albaraka Özel Bankacılık Kredi Kartlarınızla Enterprise online araç kiralamalarında liste fiyatı üzerinden %35 indirim fırsatından yararlanın!,2026-08-10T13:45:46+00:00
6297,22,shopping_points,,,500.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",HGS Talimatınıza 500 TL Worldpuan!,2026-08-10T13:45:46+00:00
6300,23,discount,,20.0,,,,%20 indirim,"Kampanyaya Katılım Adımları: Albaraka Mobil’e giriş yapın, Kampanyalar alanından “Hızlı Çiçek %20 İndirim Kampanyası” için “Kod Al” butonuna tıklayın, Hızlı Çiçek sından dilediğiniz ürünü sepete ekleyin, Ödeme adımında yer alan “Kupon Kodu” alanına Albaraka Mobil’den aldığınız kodu girin, %20 indirim fırsatını kaçırmayın.",2026-08-10T13:45:46+00:00
6299,24,special_rate,,,,,,Özel döviz veya kıymetli maden kuru,"Avantajlı Kurlar: Altın, gümüş ve döviz işlemlerinde dar makas avantajı hafta içi 24 saat Albaraka Mobil Hızlı Döviz İşlemleri'nde!",2026-08-10T13:45:46+00:00
6301,26,installment,,,,,,4 taksit,Kampanyaya Katılım Adımları: Kırtasiye Kampanyası Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız 4 taksit fırsatını kaçırmayın!,2026-08-10T13:45:46+00:00
6307,28,installment,,,,,,3 taksit,Limitsiz İMM Sigortasında Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
6308,29,installment,,,,,,3 taksit,MTV Ödemelerinize Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
6314,31,shopping_points,,,2000.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Otomatik Fatura Ödeme Talimatlarınıza Toplamda 2.000 TL Worldpuan!,2026-08-10T13:45:46+00:00
6319,32,cashback,300.0,50.0,,,300.0,Nakit iade avantajı,Otopark ve Vale Harcamalarınıza %50 İade Albaraka’da!,2026-08-10T13:45:46+00:00
6379,33,discount,3000.0,,,25001.0,3000.0,3.000 TL indirim,Müşterilerimiz kampanya kapsamında en fazla 3.000 TL indirim kazanabilirler.,2026-08-10T13:45:46+00:00
6376,34,discount,5000.0,,,,5000.0,5.000 TL indirim,Ayrıcalıklarla dolu Albaraka Özel Bankacılık Kredi Kartınızı kullanarak tek seferde yapacağınız 5.000 TL’ye kadar olan otopark harcamalarınızda %10 indirim kazanma fırsatı sizi bekliyor.,2026-08-10T13:45:46+00:00
6377,34,discount,,10.0,,,,%10 indirim,Özel Bankacılık Kredi Kart Otopark Harcamalarınızda %10 İndirim Kazandırıyor!,2026-08-10T13:45:46+00:00
6378,35,discount,,10.0,,,,%10 indirim,Özel Bankacılık Kredi Kart Restoran Harcamalarınızda %10 İndirim Kazandırıyor!,2026-08-10T13:45:46+00:00
6323,37,shopping_points,,,300.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",QR Kod İle Ödemelerinize Toplamda 300 TL Worldpuan!,2026-08-10T13:45:46+00:00
6328,38,shopping_points,,,300.0,2000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı","Restoran Kampanyası TROY kredi kartınız ile yapacağınız 2.000 TL ve üzeri her restoran harcamanıza 75 TL, toplamda 300 TL’ye varan Worldpuan hediye!",2026-08-10T13:45:46+00:00
6337,39,installment,,,,,,6 taksit,Sağlık Harcamalarına Vade Farksız 6 Taksit Kampanyası TROY kredi kartlarınız ile yapacağınız 1.000 TL- 100.000 TL arası sağlık harcamalarınıza vade farksız 6 taksit fırsatı!,2026-08-10T13:45:46+00:00
6335,40,discount,,10.0,,,,%10 indirim,"> Kod Al adımları ile indirim kodunuzu alın, www.albarakakultur.com.tr üzerinden sepette “Hediye Çeki Kullan” alanına kodu girin, Tüm indirimlere ek %10 indirim fırsatını kaçırmayın.",2026-08-10T13:45:46+00:00
6336,40,installment,,,,,,4 taksit,"Satırdan Sanata, Ek %10 İndirim ve Vade Farksız 4 Taksit Albaraka’da!",2026-08-10T13:45:46+00:00
6367,43,shopping_points,,,2000.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı","Temmuz Ayına Özel Fatura Kampanyası “OFT2026” koduyla görüntülü görüşme ile , Albaraka World kredi kartınızla Albaraka Mobil üzerinden vereceğiniz her otomatik fatura ödeme talimatı için 500 TL, toplamda 2.000 TL Worldpuan kazanın!",2026-08-10T13:45:46+00:00
6370,46,discount,250.0,,,,250.0,250 TL indirim,Trend kredi kartınız ile yapacağınız sinema harcamalarında her ay 250 TL’ye kadar indirim kazanma fırsatı sizi bekliyor!,2026-08-10T13:45:46+00:00
6371,46,discount,,25.0,,,250.0,%25 indirim,Trend Kredi Kart ile Sinema Harcamalarına %25 İndirim!,2026-08-10T13:45:46+00:00
6368,47,discount,250.0,,,,250.0,250 TL indirim,Trend kredi kartınız ile yapacağınız kırtasiye harcamalarında her ay 250 TL’ye kadar indirim kazanma fırsatı sizi bekliyor!,2026-08-10T13:45:46+00:00
6369,47,discount,,10.0,,,250.0,%10 indirim,"Kampanya Detayları: Kampanya kapsamında, Trend kredi kart sahibi müşterilerimiz kırtasiye sektör harcamaları için %10 oranında indirim kazanımı sağlayacaklardır.",2026-08-10T13:45:46+00:00
6382,49,installment,,,,,,4 taksit,Kolay Geri Ödeme: 4 taksite kadar geri ödeme seçeneği.,2026-08-10T13:45:46+00:00
6373,50,installment,,,,,,6 taksit,"Şimdi Albaraka Mobil’den müşteri olanlar, %0 kâr payı ile 40.000 TL’ye kadar Pratik Finansman Kart (İhtiyaç Finansmanı) kullanabiliyor ve 100.000 TL’ye varan seçili sektörlerde vade farksız taksitli alışveriş fırsatından yararlanabiliyor.",2026-08-10T13:45:46+00:00
6279,51,shopping_points,,,5000.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı","Yakınını Davet Et Kampanyası Albaraka Mobil Albaraka Mobil Albaraka Türk'e müşteri olan her yakınınız için 500 TL, toplamda 5.000 TL'ye varan Worldpuan kazanın!",2026-08-10T13:45:46+00:00
6374,52,shopping_points,,,1250.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Yurt Dışı Çıkış Harcı Kampanyası | 1.250 TL Worldpuan!,2026-08-10T13:45:46+00:00
6263,53,installment,,,,,,6 taksit,Amazon.com.tr Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6264,54,installment,,,,,,9 taksit,"Arçelik, Altus ve Beko Harcamalarınızda World’e Özel 9 Taksit Fırsatı!",2026-08-10T13:45:46+00:00
6265,55,installment,,,,2500.0,,3 taksit,BAUHAUS Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6267,56,installment,,,,,,6 taksit,Beymen Club Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6266,57,installment,,,,,,9 taksit,BOSCH Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6272,58,installment,,,,,,6 taksit,Civil Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6273,59,installment,,,,,,6 taksit,Continental Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6274,60,installment,,,,,,7 taksit,D&R Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6280,61,installment,,,,,,5 taksit,Deichmann Harcamalarınızda World’e Özel 5 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6281,62,installment,,,,,,9 taksit,Dyson Harcamalarınızda World'e Özel 9 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6288,63,installment,,,,,,6 taksit,Fiat Yetkili Servislerde World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6295,64,shopping_points,,,1000.0,3000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı","Giyim, Çiçek ve Kozmetik Harcamalarınızda 1.000TL’ye varan Worldpuan!",2026-08-10T13:45:46+00:00
6296,64,pos_advantage,,,,3000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait Banka bireysel kredi kart işlem verileriniz, 1-31 Mayıs 2026 tarihleri arasında, Bankalara ait sanal POS’lardan toplanacaktır.",2026-08-10T13:45:46+00:00
6289,65,shopping_points,,,1000.0,3000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Giyim ve Kozmetik Harcamalarınızda 1.000 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6290,65,pos_advantage,,,,3000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait Banka bireysel kredi kart işlem verileriniz, 1-31 Temmuz 2026 tarihleri arasında, Bankalara ait sanal POS’lardan toplanacaktır.",2026-08-10T13:45:46+00:00
6293,66,shopping_points,,,1500.0,3000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Giyim ve Kozmetik Harcamalarınızda 1.500 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6294,66,pos_advantage,,,,3000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait Banka bireysel kredi kart işlem verileriniz, 1-31 Mayıs 2026 tarihleri arasında, Bankalara ait sanal POS’lardan toplanacaktır.",2026-08-10T13:45:46+00:00
6298,67,installment,,,,6000.0,,6 taksit,Hepsiburada Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6380,68,installment,,,,,,6 taksit,İdefix Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6381,69,installment,,,,2500.0,,9 taksit,"İstikbal, Bellona ve Mondihome'da World’e Özel 9 Taksit Fırsatı!",2026-08-10T13:45:46+00:00
6303,70,installment,,,,,,6 taksit,Kiğılı ve Abdullah Kiğılı Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6306,71,installment,,,,,,6 taksit,LC Waikiki Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6309,72,installment,,,,,,6 taksit,MediaMarkt Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6310,73,installment,,,,,,9 taksit,Modalife Harcamalarınızda World’e Özel 9 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6375,74,installment,,,,,,6 taksit,n11.com Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6311,75,installment,,,,,,6 taksit,Network Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6312,76,installment,,,,,,6 taksit,Opel Yetkili Servislerde World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6313,77,installment,,,,,,7 taksit,Opmar Optik Harcamalarınızda World'e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6321,78,installment,,,,,,4 taksit,Pegasus Uçuşlarınızda World'e Özel 4 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6330,79,installment,,,,,,7 taksit,Saat&Saat Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6339,80,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Seturda 7500 Tlye Varan Worldpuan Setur'da 7.500 TL'ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6340,80,installment,,,,120000.0,,12 taksit,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
6341,80,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1- 31 Mayıs 2026 tarihleri arasında, Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6342,81,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Seturda 7500 Tlye Varan Worldpuan 1 Setur'da 7.500 TL'ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6343,81,installment,,,,120000.0,,12 taksit,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
6344,81,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1- 30 Haziran 2026 tarihleri arasında, Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6345,82,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Seturda 7500 Tlye Varan Worldpuan 2 Setur'da 7.500 TL'ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6346,82,reward,7500.0,,,120000.0,7500.0,Ödül veya hediye tutarı,"1-31 Temmuz 2026 tarihleri arasında Worldcard ile setur.com.tr ve Setur sı üzerinden veya 444 28 22 nolu Çağrı Merkezi, Setur Şube ve Yetkili Satış Acentelerinden tek seferde yapılacak seçili yurt içi ve Kuzey Kıbrıs otel, yurt dışı tur ve kültür turu rezervasyonlarınızda 45.000 TL - 69.999 TL arası harcamaya 2.500 TL, 70.000 - 119.999 TL arası harcamaya 5.000 TL, 120.000 TL ve üzeri harcamaya 7.500 TL World Puan hed",2026-08-10T13:45:46+00:00
6347,82,installment,,,,120000.0,,12 taksit,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
6348,82,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1- 31 Temmuz 2026 tarihleri arasında, Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6352,83,discount,,5.0,,120000.0,7500.0,%5 indirim,"Worldpuan kampanyası ""Seçili otellerde sepette ek %5 indirim World'e özel %5 indirim!"" ve/veya ""%50’sini Şimdi Kalanı Tatile 7 Gün Kala Öde!"" kampanyaları ile birleştirilemez.",2026-08-10T13:45:46+00:00
6353,83,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Tatilbudurda 7500 Tlye Varan Worldpuan TatilBudur'da 7.500 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6354,83,installment,,,,120000.0,,9 taksit,"1-31 Mayıs 2026 tarihleri arasında Tatilbudur.com, TatilBudur sı ,TatilBudur çağrı merkezi ve acenteler üzerinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde seçili yurt içi ve Kuzey Kıbrıs otel, yurt dışı tur rezervasyonlarında geçerli;",2026-08-10T13:45:46+00:00
6355,83,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1-31 Mayıs 2026 tarihleri arasında Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6356,84,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Tatilbudurda 7500 Tlye Varan Worldpuan 1 TatilBudur'da 7.500 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6357,84,installment,,,,120000.0,,9 taksit,"1-30 Haziran 2026 tarihleri arasında Tatilbudur.com, TatilBudur sı ,TatilBudur çağrı merkezi ve acenteler üzerinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde seçili yurt içi ve Kuzey Kıbrıs otel, yurt dışı tur rezervasyonlarında geçerli;",2026-08-10T13:45:46+00:00
6358,84,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1-30 Haziran 2026 tarihleri arasında Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6359,85,discount,,5.0,,120000.0,7500.0,%5 indirim,"Worldpuan kampanyası """"Seçili otellerde sepette ek %5 indirim World'e özel %5 indirim!"""" ve/veya """"%50'sini Şimdi Kalanı Tatile 7 Gün Kala Öde!"""" kampanyaları ile birleştirilemez.",2026-08-10T13:45:46+00:00
6360,85,shopping_points,,,7500.0,120000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Tatilbudurda 7500 Tlye Varan Worldpuan 2 TatilBudur'da 7.500 TL’ye varan Worldpuan!,2026-08-10T13:45:46+00:00
6361,85,installment,,,,120000.0,,9 taksit,"1-31 Temmuz 2026 tarihleri arasında tatilbudur.com, TatilBudur sı ve TatilBudur çağrı merkezinden tek seferde yapılacak peşin, 3 taksitli veya 6 taksitli alışverişlerde yurt içi ve Kuzey Kıbrıs otel rezervasyonlarında geçerli;",2026-08-10T13:45:46+00:00
6362,85,pos_advantage,,,,120000.0,,"POS komisyon, bloke veya ek taksit avantajı","Bu kampanyamıza katılımınızla birlikte, tarafınıza ait kredi ve banka kartı işlem verileriniz, 1-31 Temmuz 2026 tarihleri arasında Bankalara ait sanal POS'tan toplanacaktır.",2026-08-10T13:45:46+00:00
6372,86,installment,,,,,,6 taksit,Trendyol Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6442,87,miles,,5.0,2000.0,2000.0,,2.000 Mil'e kadar,Akaryakıt Harcamalarınıza Her Ay Ekstra 2.000 Mil'e Varan Fırsat!,2026-08-10T13:45:46+00:00
6468,88,miles,,5.0,2000.0,,,2.000 Mil'e kadar,E-Ticaret Harcamalarınıza Her Ay Ekstra 2.000 Mil'e Varan Fırsat!,2026-08-10T13:45:46+00:00
6469,89,installment,,,,,,3 taksit,E-Ticaret Pazaryeri Satıcılarına Özel Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
6511,90,discount,,15.0,,,,%15 indirim,İlk kez Navlungo kullanacak Kuveyt Türk müşterilerine %15 indirim tanımlanacaktır.,2026-08-10T13:45:46+00:00
6512,90,miles,,10.0,60000.0,,,60.000 Mil'e kadar,Kuveyt Türk ile E-İhracat Gönderilerinizde Mil Kazanın!,2026-08-10T13:45:46+00:00
6531,91,miles,,5.0,2000.0,2000.0,,2.000 Mil'e kadar,Market ve Gıda Harcamalarınıza Her Ay Ekstra 2.000 Mil'e Varan Fırsat!,2026-08-10T13:45:46+00:00
6532,92,miles,,5.0,4000.0,2000.0,,4.000 Mil'e kadar,Miles&Smiles Business Kart QR Ödeme ile Ekstra 4.000 Mil!,2026-08-10T13:45:46+00:00
6529,93,installment,,,,,,3 taksit,MTV Ödemelerinizde Vade Farksız 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
6545,94,cashback,10000.0,1.0,,100000.0,,Nakit iade avantajı,Kampanya Tarihleri 29.06.2026 - 31.12.2026 Kampanyayı Paylaş Proemtia Sağlam Bayi Kart sahibi olacak müşterilerimize 100.000 TL ve üzeri ilk işleme özel %1 nakit iade kazanın.,2026-08-10T13:45:46+00:00
6548,95,shopping_points,,,600.0,2000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Sağlam Business Kart Akaryakıt Harcamalarınıza 600 TL’ye Varan Altın Puan Fırsatı!,2026-08-10T13:45:46+00:00
6549,96,shopping_points,,,4000.0,2000.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Sağlam Business Kart QR Ödeme ile 4.000 TL' ye Varan Altın Puan Fırsatı!,2026-08-10T13:45:46+00:00
6550,97,installment,,,,,,9 taksit,"Sağlam Business Kart’tan Dev Kampanya 3 Ay Erteleme ve %3,49 Oranla 9 Taksit İmkanı!",2026-08-10T13:45:46+00:00
6551,97,free_service,,,,,,Kart ücreti alınmıyor,Sağlam Business Kart Avantajları Sağlam Business Kart sahiplerinden herhangi bir kart ücreti alınmamaktadır.,2026-08-10T13:45:46+00:00
6555,98,discount,2000.0,,,1000.0,2000.0,2.000 TL indirim,Sağlam Tohum Kart QR Ödeme ile 2.000 TL' ye Varan İndirim Fırsatı!,2026-08-10T13:45:46+00:00
6560,99,miles,,5.0,2000.0,20000.0,,2.000 Mil'e kadar,Toptancı Harcamalarınıza Her Ay Ekstra 2.000 Mil'e Varan Fırsat!,2026-08-10T13:45:46+00:00
6567,100,miles,,5.0,2000.0,20000.0,,2.000 Mil'e kadar,Yapı ve İnşaat Harcamalarınıza Her Ay Ekstra 2.000 Mil'e Varan Fırsat!,2026-08-10T13:45:46+00:00
6446,101,free_service,,,,,,Ücretsiz HGS etiketi,"Araç Finansmanı Onaylanan KOBİ’lere HGS Kampanyası Kampanya Tarihleri 17.07.2026 - 31.12.2026 Kampanyayı Paylaş Araç Finansmanı Onaylanan KOBİ’lere HGS Kampanyası ile yeni araç almayı düşünen, araç finansmanına ihtiyaç duyan, hâlihazırda aracı olup yenileme/daha üst modele geçmeyi düşünen KOBİ müşterilerimize araç finansmanları onaylanması durumunda ücretsiz HGS etiketi avantajı sunulmaktadır.",2026-08-10T13:45:46+00:00
6577,102,miles,,,10000.0,,,10.000 Mil'e kadar,10.000 Mil Hediye Miles&Smiles Kuveyt Türk Business kart ınıza ilk harcamanızı yaptığınız anda 10.000 mil hediye!,2026-08-10T13:45:46+00:00
6520,103,discount,,75.0,,,,%75 indirim,Geliver iş birliği ile %75'e varan kargo indirimi fırsatını kaçırmayın.,2026-08-10T13:45:46+00:00
6521,103,discount,,70.0,,,,%70 indirim,"Geliver, kendi kullanıcılarına %70’e varan indirim sağlamakla birlikte E-Ticaret yapan Kuveyt Türklü KOBİ'lere ek indirimler sağlamaktadır.",2026-08-10T13:45:46+00:00
6477,107,reward,16000.0,,,,16000.0,Ödül veya hediye tutarı,"Esnaf, Çiftçi ve Tüzel Şirketlere Özel 16.000 TL Değerinde Finansal Ürün Paketi Hediye!",2026-08-10T13:45:46+00:00
6478,107,free_service,,,,,,Ücretsiz ürün veya hizmet paketi,"Kampanya Tarihleri 9.02.2024 - 31.12.2027 Kampanyayı Paylaş Siz de Kuveyt Türk Mobil' den şahıs firması, çiftçi veya tüzel şirket hesabı açın, 16.000 TL değerindeki finansal ürün paketimizden ücretsiz faydalanın!",2026-08-10T13:45:46+00:00
