campaign_id,bank_name,campaign_name,category,campaign_type,linked_product_type,main_benefit,target_audience,installment,maturity,pricing,financing_amount,discount_cashback,reward,points,min_spend,max_benefit,min_transaction,max_transaction,start_date,end_date,expense_status,conditions_summary,source_url,source_checked_at,verification_status
53,Albaraka Türk,Amazon.com.tr Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,6.000 TL,,,,2026-07-01,2026-08-31,,"Albaraka Mobil Mobil Bankacılık Aç Amazon.com.tr Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Amazon.com.tr harcamalarınızda 31 Ağustos 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Sepet tutarına göre taksit sayısı değişiklik göstermekte olup, 6.000 TL üzeri alışverişlerinizde World’e özel 6 taksit fırsatından yararlanabilirsiniz. Seçili ürünlerde taksitlendirme tutarı değişiklik gösterebilir. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Ağustos 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worl",https://albaraka.com.tr/tr/world-dunyasi/detay/amazoncomtr-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
55,Albaraka Türk,BAUHAUS Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,3 taksit,Kart Sahipleri,3 taksit,,,,,,,2.500 TL,,,,2026-07-01,2026-08-31,,Albaraka Mobil Mobil Bankacılık Aç BAUHAUS Harcamalarınızda World’e Özel 3 Taksit Fırsatı! Müşteri Ol Müşteri Ol BAUHAUS'ta 2.500 TL ve üzeri alışverişlerinizde 31 Ağustos 2026 tarihine kadar World’e özel 3 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Ağustos 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları,https://albaraka.com.tr/tr/world-dunyasi/detay/bauhaus-harcamalarinizda-worlde-ozel-3-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
56,Albaraka Türk,Beymen Club Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,,,,,2026-06-01,2026-12-31,,Albaraka Mobil Mobil Bankacılık Aç Beymen Club Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Beymen Club harcamalarınızda 31 Aralık 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Haziran 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları: Birden fazla ür,https://albaraka.com.tr/tr/world-dunyasi/detay/beymen-club-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
58,Albaraka Türk,Civil Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,,,,,2026-05-01,2026-12-31,,Albaraka Mobil Mobil Bankacılık Aç Civil Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Civil Harcamalarınızda 31 Aralık 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Mayıs 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları: Birden fazla üründen oluşan s,https://albaraka.com.tr/tr/world-dunyasi/detay/civil-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
59,Albaraka Türk,Continental Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,,,,,2026-07-01,2026-08-31,,Albaraka Mobil Mobil Bankacılık Aç Continental Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Continental harcamalarınızda 31 Ağustos 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Ağustos 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları: Birden fazla ü,https://albaraka.com.tr/tr/world-dunyasi/detay/continental-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
61,Albaraka Türk,Deichmann Harcamalarınızda World’e Özel 5 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,5 taksit,Kart Sahipleri,5 taksit,,,,,,,,,,,2026-05-01,2026-12-31,,Albaraka Mobil Mobil Bankacılık Aç Deichmann Harcamalarınızda World’e Özel 5 Taksit Fırsatı! Müşteri Ol Müşteri Ol Deichmann Mağazalarından yapacağınız harcamalarda 31 Aralık 2026 tarihine kadar World'e özel 5 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Mayıs 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları,https://albaraka.com.tr/tr/world-dunyasi/detay/deichmann-harcamalarinizda-worlde-ozel-5-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
18,Albaraka Türk,Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası,Kart / Taksit Kampanyası,card_campaign,,6 taksit,"Kart Sahipleri,Bireysel Müşteriler",6 taksit,,Vade farksız (%0),,,,,,,,,2026-07-01,2026-09-30,,"Albaraka Mobil Mobil Bankacılık Aç Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Kampanya Başlangıç ve Bitiş 01.07.2026 - 30.09.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'de Kampanyalar sayfasından kampanyaya katılım sağlayarak, World kartlarınız ile kampanyaya katıldıktan sonra yapacağınız 30.000 TL- 500.000 TL arası okul ödemelerinize vade farksız 6 taksit fırsatını kaçırmayın! Kampanyaya Katılım Adımları Albaraka Mobil üzerinden ""Eğitim Kampanyası” kampanyası için ""Hemen Katıl"" butonuna tıklayın, 30.000 TL- 500.000 TL arası okul ödemelerinizi Albaraka World özellikli kredi kartınız ile tek çekim olarak gerçekleştirin, Vade farksız 6 taksit fırsatından yararlanın. Kampanya Başlangıç ve Bitiş Tarihi K",https://albaraka.com.tr/tr/kampanyalar/detay/egitim-kampanyasi-1,2026-08-10T11:17:32+00:00,official_source_date_gated
67,Albaraka Türk,Hepsiburada Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,6.000 TL,,1.000 TL,6.000 TL,2026-07-01,2026-08-31,,"Albaraka Mobil Mobil Bankacılık Aç Hepsiburada Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Hepsiburada harcamalarınızda 31 Ağustos 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. 1.000 TL – 6.000 TL arası alışverişlerde 3 taksit, 6.000 TL ve üzeri alışverişlerde 6 taksit uygulanmaktadır. Seçili ürünlerde taksitlendirme tutarı değişiklik gösterebilir. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Ağustos 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold",https://albaraka.com.tr/tr/world-dunyasi/detay/hepsiburada-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
26,Albaraka Türk,Kampanyaya Katılım Adımları,Kart / Taksit Kampanyası,card_campaign,,4 taksit,"Kart Sahipleri,Bireysel Müşteriler",4 taksit,,Vade farksız (%0),,,,,,,,,2026-06-01,2026-09-30,,"Albaraka Mobil Mobil Bankacılık Aç Kırtasiye Kampanyası Kampanya Başlangıç ve Bitiş 01.06.2026 - 30.09.2026 Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız 4 taksit fırsatını kaçırmayın! Kampanyaya Katılım Adımları: Albaraka Mobil üzerinden ""Kırtasiye Kampanyası” kampanyası için ""Hemen Katıl"" butonuna tıklayın, 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızı Albaraka World özellikli kredi kartınız ile tek çekim olarak gerçekleştirin, Vade farksız 4 taksit fırsatından yararlanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Haziran - 30 Eylül 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir: Kampanya boyunca Albaraka Mobil’den kampanyaya katılı",https://albaraka.com.tr/tr/kampanyalar/detay/kirtasiye-kampanyasi,2026-08-10T11:17:32+00:00,official_source_date_gated
70,Albaraka Türk,Kiğılı ve Abdullah Kiğılı Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,,,,,2026-07-01,2026-12-31,,Albaraka Mobil Mobil Bankacılık Aç Kiğılı ve Abdullah Kiğılı Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol Kiğılı ve Abdullah Kiğılı harcamalarınızda 31 Aralık 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya,https://albaraka.com.tr/tr/world-dunyasi/detay/kigili-ve-abdullah-kigili-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
71,Albaraka Türk,LC Waikiki Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,Kart / Taksit Kampanyası,card_campaign,,6 taksit,Kart Sahipleri,6 taksit,,,,,,,,,,,2026-07-01,2026-12-31,,Albaraka Mobil Mobil Bankacılık Aç LC Waikiki Harcamalarınızda World’e Özel 6 Taksit Fırsatı! Müşteri Ol Müşteri Ol LC Waikiki Harcamalarınızda 31 Aralık 2026 tarihine kadar World'e özel 6 taksit fırsatını kaçırmayın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Temmuz 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir. Kampanyaya Albaraka Bireysel Worldcard'lar dahildir. Kampanyaya Mastercard Gold Standart ve Business kartlar dahil değildir. Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir. Ek Kampanya Detayları: Birden fazla üründ,https://albaraka.com.tr/tr/world-dunyasi/detay/lc-waikiki-harcamalarinizda-worlde-ozel-6-taksit-firsati,2026-08-10T11:17:32+00:00,official_source_date_gated
28,Albaraka Türk,Limitsiz İMM Sigortasında Vade Farksız 3 Taksit!,Kart / Taksit Kampanyası,card_campaign,,3 taksit,Bireysel Müşteriler,3 taksit,,Vade farksız (%0),,,,,,,,,2026-03-01,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç Limitsiz İMM Sigortasında Vade Farksız 3 Taksit! Kampanya Başlangıç ve Bitiş 01.03.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Limitsiz İMM Sigortası işlemlerinizde taksit Albaraka’dan! Şimdi siz de Albaraka mobilden yaptıracağınız Limitsiz İMM Sigortası işlemleriniz için vade farksız 3 taksit fırsatını kaçırmayın! Kampanyaya Katılmak İçin: Albaraka Mobil’e giriş yapın, İşlem > Sigorta İşlemleri alanından Limitsiz İMM Sigortası için başvuru yapın, Vade farksız 3 taksit fırsatı ile Limitsiz İMM Sigortanızı yaptırın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Mart 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Kampanyadan 1 Mart – 31 Ar",https://albaraka.com.tr/tr/kampanyalar/detay/limitsiz-imm-sigortasinda-vade-farksiz-3-taksit-2,2026-08-10T11:17:32+00:00,official_source_date_gated
