Finansman Türü,Senaryo,Banka,Ürün,Varyant,Kâr Payı,Aylık Taksit,Toplam Geri Ödeme,Tahsis,Ekspertiz,İpotek / Rehin,Doğrulama Yöntemi,Resmî Kaynak,Kontrol Tarihi
Konut Finansmanı,100.000 TL / 36 Ay,Vakıf Katılım,Konut Finansmanı,sifir_konut,"%3,16","4.690,38 TL","168.853,82 TL",Kişiye özel teklif — banka ile görüşün,"25.000,00 TL","1.000,00 TL",official_live_calculator_endpoint,https://www.vakifkatilim.com.tr/tr/yardimci-sayfalar/hesaplama-araclari/finansman-hesaplama,2026-08-20
Konut Finansmanı,100.000 TL / 36 Ay,Ziraat Katılım,Konut Finansmanı,standard,"%3,19","4.711,15 TL","169.601,40 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.ziraatkatilim.com.tr/finansal-hesaplama-araci,2026-08-20
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Adil Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Albaraka Türk,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama/ihtiyac-finansmani-hesaplama,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Dünya Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://dunyakatilim.com.tr/kendim-icin/finansmanlar,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Hayat Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://hayatfinans.com.tr/krediler,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Kuveyt Türk,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,T.O.M. Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://tombank.com.tr/magazadan-alisveris-kredisi.html,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Türkiye Emlak Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 24 ay",https://www.emlakkatilim.com.tr/tr,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Türkiye Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.turkiyefinans.com.tr/tr-tr/hesaplama-araclari/Sayfalar/finansman-odeme-plani.aspx,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Vakıf Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.vakifkatilim.com.tr/tr/yardimci-sayfalar/hesaplama-araclari/finansman-hesaplama,2026-08-27
Taşıt Finansmanı,300.000 TL Finansman / 36 Ay,Ziraat Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.ziraatkatilim.com.tr/finansal-hesaplama-araci,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Adil Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Albaraka Türk,"Motosiklet, ATV , Bisiklet",standard,"%3,9","6.117,50 TL","220.230,17 TL","575,00 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama/ihtiyac-finansmani-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Dünya Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://dunyakatilim.com.tr/kendim-icin/finansmanlar,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Hayat Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://hayatfinans.com.tr/krediler,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Bisiklet Finansmanı,standard,"%4,27","6.477,30 TL","233.182,27 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Eğitim Finansmanı,standard,"%4,01","6.209,72 TL","223.550,02 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Hac-Umre Finansmanı,standard,"%4,01","6.209,72 TL","223.550,02 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Kira Finansmanı,standard,"%4,01","6.209,72 TL","223.550,02 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Seyahat Finansmanı,standard,"%4,01","6.209,72 TL","223.550,02 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Tekne Tüketici Finansmanı,standard,"%4,01","6.209,72 TL","223.550,02 TL","575,00 TL","0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,T.O.M. Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://tombank.com.tr/magazadan-alisveris-kredisi.html,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Türkiye Emlak Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 24 ay",https://www.emlakkatilim.com.tr/tr,2026-08-27
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Dijital İhtiyaç Finansmanı (Dijital İhtiyaç Kredisi)*,sigortali,"%3,8","5.996,94 TL","215.889,84 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.turkiyefinans.com.tr/tr-tr/hesaplama-araclari/Sayfalar/finansman-odeme-plani.aspx,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Dijital İhtiyaç Finansmanı (Dijital İhtiyaç Kredisi)*,sigortasiz,"%5,7","8.021,88 TL","288.787,68 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.turkiyefinans.com.tr/tr-tr/hesaplama-araclari/Sayfalar/finansman-odeme-plani.aspx,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,İhtiyaç Finansmanı (İhtiyaç Kredisi)*,sigortali,"%3,8","5.996,94 TL","215.889,84 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.turkiyefinans.com.tr/tr-tr/hesaplama-araclari/Sayfalar/finansman-odeme-plani.aspx,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,İhtiyaç Finansmanı (İhtiyaç Kredisi)*,sigortasiz,"%5,7","8.021,88 TL","288.787,68 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.turkiyefinans.com.tr/tr-tr/hesaplama-araclari/Sayfalar/finansman-odeme-plani.aspx,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Vakıf Katılım,İhtiyaç Finansmanı,standard,"%3,65","5.846,85 TL","210.486,67 TL",Kişiye özel teklif — banka ile görüşün,"0,00 TL","0,00 TL",official_live_calculator_endpoint,https://www.vakifkatilim.com.tr/tr/yardimci-sayfalar/hesaplama-araclari/finansman-hesaplama,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Ziraat Katılım,Hac ve Umre Finansmanı,standard,"%4,89","7.132,66 TL","256.775,76 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.ziraatkatilim.com.tr/finansal-hesaplama-araci,2026-08-20
İhtiyaç Finansmanı,100.000 TL / 36 Ay,Ziraat Katılım,Kolay Fon Finansmanı,standard,"%4,19","6.394,49 TL","230.201,64 TL",Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,official_live_calculator_endpoint,https://www.ziraatkatilim.com.tr/finansal-hesaplama-araci,2026-08-20
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Adil Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Albaraka Türk,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Dünya Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://dunyakatilim.com.tr/kendim-icin/finansmanlar,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Hayat Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://hayatfinans.com.tr/krediler,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Kuveyt Türk,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 36 ay",https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,T.O.M. Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 24 ay",https://www.tombank.com.tr/hesaplama-araclari.html,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Türkiye Emlak Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.emlakkatilim.com.tr/tr/bireysel/finansmanlar,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Türkiye Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.turkiyefinans.com.tr/tr-tr/bireysel/hizli-finansman/Sayfalar/default.aspx,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Vakıf Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.vakifkatilim.com.tr/tr/kendim-icin/finansmanlar,2026-08-27
Alışveriş Finansmanı,50.000 TL Laptop / 12 Ay,Ziraat Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.ziraatkatilim.com.tr/bireysel/finansman-urunleri/tasit-finansmani,2026-08-27
