Banka,Kart Adı,Kart Türü,Müşteri Segmenti,Ödeme Ağı,Kart Programı / Ödül,Yıllık Kart Ücreti,Taksit / Vade Farksız,Puan / Nakit İade / Mil,Temassız,QR / NFC,Sanal Kart,Ek Kart,İnternet Alışverişi,Yurt Dışı Kullanım,Nakit Avans,Öne Çıkan Avantaj,Başvuru Kanalı,Resmî Kaynak,Kontrol Tarihi,Veri Notu
Albaraka Türk,Hicaz Kart,Banka Kartı,Hac / Umre müşterileri,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Hac ve Umre ziyaretine özel banka kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Dijital Banka Kartı,Banka Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Kartın kendisi dijital,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,E-ticaret ve dijital kullanım için banka kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Trend Banka Kartı,Banka Kartı,Trend segmenti,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Kart kullanım ücreti yok ifadesi yayımlanıyor,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Trend segmenti banka kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Özel Banka Kartı,Banka Kartı,Özel Bankacılık,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Özel Bankacılık banka kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Eflatun Banka Kartı,Banka Kartı,Eflatun segmenti,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Cari hesap bakiyesiyle alışveriş ve bankacılık işlemleri,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Dünya Katılım,Paraf Platinum Kredi Kartı,Kredi Kartı,Bireysel / Premium,Bilgi yok – resmî kaynakta yayımlanmamış,Paraf / ParafPara,Var – güncel sabit tutar ürün sayfasında yayımlanmamış,Paraf üye işyerlerinde taksit,ParafPara,Var – 2.500 TL ve altı şifresiz,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var – GO güvenli ödeme,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"ParafPara, taksit ve Paraf Platinum kampanyaları",Bilgi yok – resmî kaynakta yayımlanmamış,https://dunyakatilim.com.tr/kendim-icin/kartlar/kredi-kartlari/paraf-platinum-kredi-karti,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Dünya Katılım,Paraf Kredi Kartı,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Paraf / ParafPara,Var – güncel sabit tutar ürün sayfasında yayımlanmamış,Paraf üye işyerlerinde taksit,ParafPara,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"ParafPara, taksit ve kampanyalar",Bilgi yok – resmî kaynakta yayımlanmamış,https://dunyakatilim.com.tr/kendim-icin/kartlar/kredi-kartlari/paraf-kredi-karti,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Dünya Katılım,DKart Kredi Kartı,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – yıllık kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Altın Kesem kampanyalarında altın kazanımı,Var – 2.500 TL ve altı şifresiz,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var – GO güvenli ödeme,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Aidatsız kredi kartı + altın kazanım kampanyaları,Fiziki şubeler,https://dunyakatilim.com.tr/kendim-icin/kartlar/kredi-kartlari/dkart-kredi-karti,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Dünya Katılım,DKart Debit,Banka Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Altın Kesem kampanyalarında altın kazanımı,Var – 2.500 TL ve altı şifresiz,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var – GO güvenli ödeme,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Vadesiz hesaptan kart kullanımı; resmî ATM avantajları,Şube / uzaktan müşteri edinimi,https://dunyakatilim.com.tr/kendim-icin/kartlar/banka-kartlari/dkart,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Hayat Finans,Hayat Finans Banka Kartı,Banka Kartı,Bireysel,Mastercard / Maestro / Cirrus,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – ücretsiz,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Var – bağlı sanal kart oluşturulabilir,Bilgi yok – resmî kaynakta yayımlanmamış,Var – 3D Secure / GO,Var,Bilgi yok – resmî kaynakta yayımlanmamış,"Ücretsiz banka kartı, yurt dışı kullanım ve sanal kart",Hayat Finans Mobil / banka kanalları,https://hayatfinans.com.tr/kartlar/hayat-finans-banka-karti,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Hayat Finans,Biz Kart,Ek Banka Kartı,Aile / yakınlar / 8 yaş ve üzeri,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – herhangi bir ücret yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Asıl hesap sahibinin limit ve sektör bazlı kontrolü,Hayat Finans Mobil,https://hayatfinans.com.tr/kartlar/biz-kart,2026-08-27,18 yaş altı için yalnız velayet altındaki çocuk; asıl hesap sahibi en fazla 5 kişiye kart tanımlayabilir.
Hayat Finans,Hayat Plus Kredi Kartı,Kredi Kartı,Özel Bankacılık,Mastercard World Black Edition,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Yurt içi/yurt dışı kampanya ve indirimler,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Özel Bankacılık; seyahat ve günlük harcamalarda premium ayrıcalıklar,Hayat Finans Mobil,https://hayatfinans.com.tr/kartlar/hayat-plus-kredi-karti,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Sağlam Kart,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – yıllık üyelik ücreti yok,Eğitim ve sağlıkta vade farksız 5 taksit; anlaşmalı işyerlerinde taksit,Altın Puan,Var,QR + Android NFC,Var,Var,Var,Bilgi yok – resmî kaynakta yayımlanmamış,"Var – limitin %5'i, azami 20.000 TL",Aidatsız + Altın Puan + eğitim/sağlıkta vade farksız 5 taksit,Şube / dijital kart yönetimi,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kredi-karti/saglam-kart,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Miles&Smiles Kredi Kartı,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Miles&Smiles,Bilgi yok – resmî kaynakta yayımlanmamış,Alışverişlerde 6 aya kadar vade farksız taksit ifadesi yayımlanıyor,Mil,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Mil biriktirme ve seyahat odaklı kredi kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Sağlam Nakit Kart,Banka Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Altın Puan,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Kampanyalardan Altın Puan,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Cari hesaptan kullanım + Altın Puan kampanyaları,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/banka-kartlari/saglam-nakit-kart,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Elite Kart,Kredi Kartı,Özel / Premium,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Premium kart; ayrıntılı özellikler kart karşılaştırma sayfasından erişiliyor,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Sağlam Kart Kampüs,Kredi Kartı,Kampüs / genç,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Restoran ve markette %10 indirim kampanyaları,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Aidatsız genç kart; restoran/market avantajları,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Miles&Smiles Debit Kart,Banka Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Miles&Smiles,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,%20 daha fazla mil biriktirme ifadesi yayımlanıyor,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Banka kartı harcamalarında mil,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Sağlam Tohum Kart,Tarım Kartı,Çiftçi / tarım,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Hasat dönemine kadar ödeme erteleme,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Tarım harcamalarında hasada uygun ödeme,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Sağlam Business Finansman Kart,Ticari Finansman Kartı,KOBİ / Ticari,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,İşletme harcamalarını finanse etmeye yönelik ticari kart,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Kuveyt Türk,Miles&Smiles Business,Ticari Kredi Kartı,KOBİ / Ticari,Bilgi yok – resmî kaynakta yayımlanmamış,Miles&Smiles,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Mil,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,İş seyahati ve ticari harcamalarda mil,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.kuveytturk.com.tr/kendim-icin/kartlar/kart-karsilastirma,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
